Date,GoogleIndex,MovieTitle,Studio
2018-11-20,61,Green Book,Uni.
2018-11-21,69,Green Book,Uni.
2018-11-22,86,Green Book,Uni.
2018-11-23,100,Green Book,Uni.
2018-11-24,75,Green Book,Uni.
2018-11-25,43,Green Book,Uni.
2018-11-26,44,Green Book,Uni.
2018-11-27,43,Green Book,Uni.
2018-10-31,62,A Star is Born 2018,WB
2018-11-01,74,A Star is Born 2018,WB
2018-11-02,100,A Star is Born 2018,WB
2018-11-03,92,A Star is Born 2018,WB
2018-11-04,61,A Star is Born 2018,WB
2018-11-05,45,A Star is Born 2018,WB
2018-11-06,51,A Star is Born 2018,WB
2018-11-07,45,A Star is Born 2018,WB
2018-11-08,55,A Star is Born 2018,WB
2018-11-09,86,A Star is Born 2018,WB
2018-11-10,75,A Star is Born 2018,WB
2018-11-11,47,A Star is Born 2018,WB
2018-11-12,35,A Star is Born 2018,WB
2018-11-13,37,A Star is Born 2018,WB
2018-11-14,43,A Star is Born 2018,WB
2018-11-15,61,A Star is Born 2018,WB
2018-11-16,78,A Star is Born 2018,WB
2018-11-17,72,A Star is Born 2018,WB
2018-11-18,48,A Star is Born 2018,WB
2018-11-19,50,A Star is Born 2018,WB
2018-11-20,39,A Star is Born 2018,WB
2018-11-21,44,A Star is Born 2018,WB
2018-11-22,52,A Star is Born 2018,WB
2018-11-23,63,A Star is Born 2018,WB
2018-11-24,63,A Star is Born 2018,WB
2018-11-25,35,A Star is Born 2018,WB
2018-11-26,36,A Star is Born 2018,WB
2018-11-27,35,A Star is Born 2018,WB
2018-10-31,45,The Nutcracker and the Four Realms,BV
2018-11-01,76,The Nutcracker and the Four Realms,BV
2018-11-02,90,The Nutcracker and the Four Realms,BV
2018-11-03,63,The Nutcracker and the Four Realms,BV
2018-11-04,37,The Nutcracker and the Four Realms,BV
2018-11-05,32,The Nutcracker and the Four Realms,BV
2018-11-06,31,The Nutcracker and the Four Realms,BV
2018-11-07,39,The Nutcracker and the Four Realms,BV
2018-11-08,61,The Nutcracker and the Four Realms,BV
2018-11-09,100,The Nutcracker and the Four Realms,BV
2018-11-10,79,The Nutcracker and the Four Realms,BV
2018-11-11,45,The Nutcracker and the Four Realms,BV
2018-11-12,36,The Nutcracker and the Four Realms,BV
2018-11-13,33,The Nutcracker and the Four Realms,BV
2018-11-14,26,The Nutcracker and the Four Realms,BV
2018-11-15,37,The Nutcracker and the Four Realms,BV
2018-11-16,56,The Nutcracker and the Four Realms,BV
2018-11-17,45,The Nutcracker and the Four Realms,BV
2018-11-18,27,The Nutcracker and the Four Realms,BV
2018-11-19,26,The Nutcracker and the Four Realms,BV
2018-11-20,25,The Nutcracker and the Four Realms,BV
2018-11-21,22,The Nutcracker and the Four Realms,BV
2018-11-22,30,The Nutcracker and the Four Realms,BV
2018-11-23,38,The Nutcracker and the Four Realms,BV
2018-11-24,29,The Nutcracker and the Four Realms,BV
2018-11-25,13,The Nutcracker and the Four Realms,BV
2018-11-26,13,The Nutcracker and the Four Realms,BV
2018-11-27,12,The Nutcracker and the Four Realms,BV
2018-10-31,32,Boy Erased,Focus
2018-11-01,37,Boy Erased,Focus
2018-11-02,38,Boy Erased,Focus
2018-11-03,34,Boy Erased,Focus
2018-11-04,48,Boy Erased,Focus
2018-11-05,60,Boy Erased,Focus
2018-11-06,61,Boy Erased,Focus
2018-11-07,85,Boy Erased,Focus
2018-11-08,89,Boy Erased,Focus
2018-11-09,92,Boy Erased,Focus
2018-11-10,98,Boy Erased,Focus
2018-11-11,56,Boy Erased,Focus
2018-11-12,69,Boy Erased,Focus
2018-11-13,68,Boy Erased,Focus
2018-11-14,73,Boy Erased,Focus
2018-11-15,100,Boy Erased,Focus
2018-11-16,92,Boy Erased,Focus
2018-11-17,84,Boy Erased,Focus
2018-11-18,47,Boy Erased,Focus
2018-11-19,40,Boy Erased,Focus
2018-11-20,48,Boy Erased,Focus
2018-11-21,44,Boy Erased,Focus
2018-11-22,62,Boy Erased,Focus
2018-11-23,70,Boy Erased,Focus
2018-11-24,50,Boy Erased,Focus
2018-11-25,29,Boy Erased,Focus
2018-11-26,28,Boy Erased,Focus
2018-11-27,25,Boy Erased,Focus
2018-10-31,14,Overlord,Par.
2018-11-01,15,Overlord,Par.
2018-11-02,16,Overlord,Par.
2018-11-03,19,Overlord,Par.
2018-11-04,18,Overlord,Par.
2018-11-05,19,Overlord,Par.
2018-11-06,25,Overlord,Par.
2018-11-07,42,Overlord,Par.
2018-11-08,72,Overlord,Par.
2018-11-09,100,Overlord,Par.
2018-11-10,83,Overlord,Par.
2018-11-11,50,Overlord,Par.
2018-11-12,41,Overlord,Par.
2018-11-13,35,Overlord,Par.
2018-11-14,31,Overlord,Par.
2018-11-15,34,Overlord,Par.
2018-11-16,48,Overlord,Par.
2018-11-17,43,Overlord,Par.
2018-11-18,26,Overlord,Par.
2018-11-19,23,Overlord,Par.
2018-11-20,21,Overlord,Par.
2018-11-21,20,Overlord,Par.
2018-11-22,23,Overlord,Par.
2018-11-23,28,Overlord,Par.
2018-11-24,24,Overlord,Par.
2018-11-25,14,Overlord,Par.
2018-11-26,13,Overlord,Par.
2018-11-27,13,Overlord,Par.
2018-10-31,21,Nobodys Fool,Par.
2018-11-01,77,Nobodys Fool,Par.
2018-11-02,100,Nobodys Fool,Par.
2018-11-03,88,Nobodys Fool,Par.
2018-11-04,58,Nobodys Fool,Par.
2018-11-05,47,Nobodys Fool,Par.
2018-11-06,43,Nobodys Fool,Par.
2018-11-07,27,Nobodys Fool,Par.
2018-11-08,40,Nobodys Fool,Par.
2018-11-09,56,Nobodys Fool,Par.
2018-11-10,55,Nobodys Fool,Par.
2018-11-11,36,Nobodys Fool,Par.
2018-11-12,23,Nobodys Fool,Par.
2018-11-13,21,Nobodys Fool,Par.
2018-11-14,16,Nobodys Fool,Par.
2018-11-15,18,Nobodys Fool,Par.
2018-11-16,22,Nobodys Fool,Par.
2018-11-17,35,Nobodys Fool,Par.
2018-11-18,18,Nobodys Fool,Par.
2018-11-19,12,Nobodys Fool,Par.
2018-11-20,16,Nobodys Fool,Par.
2018-11-21,10,Nobodys Fool,Par.
2018-11-22,23,Nobodys Fool,Par.
2018-11-23,21,Nobodys Fool,Par.
2018-11-24,20,Nobodys Fool,Par.
2018-11-25,10,Nobodys Fool,Par.
2018-11-26,9,Nobodys Fool,Par.
2018-11-27,12,Nobodys Fool,Par.
2018-10-31,77,Venom 2018,Sony
2018-11-01,83,Venom 2018,Sony
2018-11-02,100,Venom 2018,Sony
2018-11-03,96,Venom 2018,Sony
2018-11-04,57,Venom 2018,Sony
2018-11-05,55,Venom 2018,Sony
2018-11-06,54,Venom 2018,Sony
2018-11-07,61,Venom 2018,Sony
2018-11-08,66,Venom 2018,Sony
2018-11-09,92,Venom 2018,Sony
2018-11-10,80,Venom 2018,Sony
2018-11-11,56,Venom 2018,Sony
2018-11-12,49,Venom 2018,Sony
2018-11-13,47,Venom 2018,Sony
2018-11-14,52,Venom 2018,Sony
